name,link,description,image
stalker shadow of chernobyl,https://store.steampowered.com/app/4500/STALKER_Shadow_of_Chernobyl/,"S.T.A.L.K.E.R.: Shadow of Chernobyl tells a story about survival in the Zone – a very dangerous place, where you fear not only the radiation, anomalies and deadly creatures, but other S.T.A.L.K.E.R.s, who have their own goals and wishes.",https://cdn.cloudflare.steamstatic.com/steam/apps/4500/header.jpg?t=1624531877
saints row the third,https://store.steampowered.com/app/55230/Saints_Row_The_Third/,"Years after taking Stilwater for their own, the Third Street Saints have evolved from street gang to household brand name, with Saints sneakers, Saints energy drinks and Johnny Gat bobble head dolls all available at a store near you.",https://cdn.cloudflare.steamstatic.com/steam/apps/55230/header.jpg?t=1623408556
far cry 3,https://store.steampowered.com/app/220240/Far_Cry_3/,Discover the dark secrets of a lawless island ruled by violence and take the fight to the enemy as you try to escape. You’ll need more than luck to escape alive!,https://cdn.cloudflare.steamstatic.com/steam/apps/220240/header.jpg?t=1602602935
rocket league,https://store.steampowered.com/dlc/252950/Rocket_League/?l=turkish,Rocket League is a soccer game with cars developed and published by Psyonix. It was first released in July 2015 for Microsoft Windows and PlayStation 4 platforms. The version developed for Xbox One was released in 2016.,https://cdn.cloudflare.steamstatic.com/steam/apps/252950/header.jpg?t=1647970648
assassins creed ii,https://store.steampowered.com/app/33230/Assassins_Creed_2/,"Assassin’s Creed® 2 is the follow-up to the title that became the fastest-selling new IP in video game history. The highly anticipated title features a new hero, Ezio Auditore da Firenze, a young Italian noble, and a new era, the Renaissance.",https://cdn.cloudflare.steamstatic.com/steam/apps/33230/header.jpg?t=1631289682
far cry 4,https://store.steampowered.com/app/298110/Far_Cry_4/,"Hidden in the towering Himalayas lies Kyrat, a country steeped in tradition and violence. You are Ajay Ghale. Traveling to Kyrat to fulfill your mother’s dying wish, you find yourself caught up in a civil war to overthrow the oppressive regime of dictator Pagan Min.",https://cdn.cloudflare.steamstatic.com/steam/apps/298110/header.jpg?t=1602602982
space pirates and zombies,https://store.steampowered.com/app/107200/Space_Pirates_and_Zombies/,"Explore a randomly generated Galaxy populated with factions, enemies, missions, and items providing you with a unique experience each time you play.",https://cdn.cloudflare.steamstatic.com/steam/apps/107200/header.jpg?t=1633193712
dying light,https://store.steampowered.com/app/239140/Dying_Light/,"A first-person action survival game set in the post-apocalyptic era in an open world overrun by flesh-seeking zombies. Explore the city ravaged by a mysterious virus outbreak. Seek supplies, craft weapons and fight hordes of afflicted.",https://cdn.cloudflare.steamstatic.com/steam/apps/239140/header.jpg?t=1651762410
just cause 2,https://store.steampowered.com/app/8190/Just_Cause_2/,Dive into an adrenaline-fuelled free-roaming adventure with 400 square miles of rugged terrain and hundreds of weapons and vehicles.,https://cdn.cloudflare.steamstatic.com/steam/apps/8190/header.jpg?t=1593180404
mirrors edge,https://store.steampowered.com/app/17410/Mirrors_Edge/,"In a city where information is heavily monitored, couriers called Runners transport sensitive data. In this seemingly utopian paradise, a crime has been committed, & you are being hunted. You are a Runner called Faith and this innovative first-person action-adventure is your story.",https://cdn.cloudflare.steamstatic.com/steam/apps/17410/header.jpg?t=1615390591
mad max,https://store.steampowered.com/app/234140/Mad_Max/,"Become Mad Max, the lone warrior in a cruel post-apocalyptic world where cars are meant to survive.
In this exciting, free world, third-person perspective, you must fight relentlessly and drive your vehicle against a brutal gang of thugs to survive in the Wasteland.",https://cdn.cloudflare.steamstatic.com/steam/apps/234140/header.jpg?t=1634068672
portal 2,https://store.steampowered.com/app/620/Portal_2/,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!",https://cdn.cloudflare.steamstatic.com/steam/apps/620/header.jpg?t=1610490805
deus ex human revolution,https://store.steampowered.com/app/238010/Deus_Ex_Human_Revolution__Directors_Cut/,"You play Adam Jensen, an ex-SWAT specialist who's been handpicked to oversee the defensive needs of one of America's most experimental biotechnology firms. Your job is to safeguard company secrets, but when a black ops team breaks in and kills the very scientists you were hired to protect, everything you thought you knew about your job changes.",https://cdn.cloudflare.steamstatic.com/steam/apps/238010/header.jpg?t=1619788192
middleearth shadow of mordor,https://store.steampowered.com/app/241930/Middleearth_Shadow_of_Mordor/,"Fight through Mordor and uncover the truth of the spirit that compels you, discover the origins of the Rings of Power, build your legend and ultimately confront the evil of Sauron in this new chronicle of Middle-earth.",https://cdn.cloudflare.steamstatic.com/steam/apps/241930/header.jpg?t=1633983562
tropico 4,https://store.steampowered.com/app/57690/Tropico_4/?l=turkish,"The world is changing and Tropico is moving with the times - geographical powers rise and fall and the world market is dominated by new players with new demands and offers - and you, as El Presidente, face a whole new set of challenges.",https://cdn.cloudflare.steamstatic.com/steam/apps/57690/header.jpg?t=1644314370
dust an elysian tail,https://store.steampowered.com/app/236090/Dust_An_Elysian_Tail/,"Immerse yourself in a gorgeous hand-painted world on a search for your true identity. As the mysterious warrior, Dust, your action-packed journey will take you from peaceful glades to snowy mountaintops and beyond.",https://cdn.cloudflare.steamstatic.com/steam/apps/236090/header.jpg?t=1577734273
south park the stick of truth,https://store.steampowered.com/app/213670/South_Park_The_Stick_of_Truth/,"From the perilous battlefields of the fourth-grade playground, a young hero will rise, destined to be South Park’s savior. From the creators of South Park, Trey Parker and Matt Stone, comes an epic quest to become… cool. Introducing South Park™: The Stick of Truth™.",https://cdn.cloudflare.steamstatic.com/steam/apps/213670/header.jpg?t=1611584789
sleeping dogs,https://store.steampowered.com/app/202170/Sleeping_Dogs/,"As Wei Shen, an undercover cop trying to take down the Triads, you'll have to fight your way up the organization without blowing your cover.",https://cdn.cloudflare.steamstatic.com/steam/apps/202170/header.jpg?t=1592493319
watchdogs,https://store.steampowered.com/app/243470/Watch_Dogs/,"In today's hyper-connected world, Chicago operates under ctOS, the most advanced computer network in America.",https://cdn.cloudflare.steamstatic.com/steam/apps/243470/header.jpg?t=1602605619
saints row iv,https://store.steampowered.com/app/206420/Saints_Row_IV/,The US President must save the Earth from alien overlord Zinyak using an arsenal of superpowers and strange weapons in the wildest open world game ever.,https://cdn.cloudflare.steamstatic.com/steam/apps/206420/header.jpg?t=1624629638
dayz,https://store.steampowered.com/app/221100/DayZ/,"How long can you survive in a post-apocalyptic world? Infected ""zombies"" abound in this region, where you'll fight other survivors for limited resources. Will you join hands with strangers? Or will you say you can't trust the hand and play the wolf alone? Write your story on DayZ",https://cdn.cloudflare.steamstatic.com/steam/apps/221100/header.jpg?t=1643209285
halflife 2,https://store.steampowered.com/app/220/HalfLife_2/,"The year is 1998. Half-Life shocks the gaming industry by combining gripping fictional story and stunning action. Valve's debut game, which has won more than 50 Game of the Year awards and named ""The Best PC Game of All Time"" by PC Gamer, has sold over eight million copies worldwide. And now.",https://cdn.cloudflare.steamstatic.com/steam/apps/220/header.jpg?t=1591063154
dirt 3,https://www.codemasters.com/game/dirt-3/,"Dirt 3 is a simcade racing video game developed and published by Codemasters for Microsoft Windows, PlayStation 3 and Xbox 360. It was the first game in the series to not have the Colin McRae alias.",https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Dirt_3.jpg/220px-Dirt_3.jpg
ftl faster than light,https://store.steampowered.com/app/212680/FTL_Faster_Than_Light/,"This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.",https://cdn.cloudflare.steamstatic.com/steam/apps/212680/header.jpg?t=1589331228
age of empires ii hd edition,https://store.steampowered.com/app/221380/Age_of_Empires_II_2013/,"Age of Empires II has been re-imagined in high definition with new features, trading cards, improved AI, workshop support, multiplayer, Steamworks integration and more!",https://cdn.cloudflare.steamstatic.com/steam/apps/221380/header.jpg?t=1620144521
batman arkham asylum goty edition,https://store.steampowered.com/app/35140/Batman_Arkham_Asylum_Game_of_the_Year_Edition/,Experience what it’s like to be Batman and face off against Gotham's greatest villians. Explore every inch of Arkham Asylum and roam freely on the infamous island.,https://cdn.cloudflare.steamstatic.com/steam/apps/35140/header.jpg?t=1634156906
gunpoint,https://store.steampowered.com/app/206190/Gunpoint/,Gunpoint is a stealth puzzle game that lets you rewire its levels to trick people. You play a freelance spy who takes jobs from his clients to break into high security buildings and steal sensitive data.,https://cdn.cloudflare.steamstatic.com/steam/apps/206190/header.jpg?t=1585250076
metro 2033,https://store.steampowered.com/app/286690/Metro_2033_Redux/,"In 2013 the world was devastated by an apocalyptic event, annihilating almost all mankind and turning the Earth's surface into a poisonous wasteland. A handful of survivors took refuge in the depths of the Moscow underground, and human civilization entered a new Dark Age. The year is 2033.",https://cdn.cloudflare.steamstatic.com/steam/apps/286690/header.jpg?t=1600354146
assassins creed iii,https://store.steampowered.com/app/911400/Assassins_Creed_III_Remastered/?l=turkish,Relive the American Revolution or experience it for the first time in Assassin's Creed® III Remastered with enhanced graphics and enhanced gameplay mechanics. Also included is Assassin's Creed Liberation Remastered and all solo DLC content.,https://cdn.cloudflare.steamstatic.com/steam/apps/911400/header.jpg?t=1602600816
ori and the blind forest,https://store.steampowered.com/app/261570/Ori_and_the_Blind_Forest/?l=turkish,"“Ori and the Blind Forest” tells the tale of a young orphan destined for heroics, through a visually stunning action-platformer crafted by Moon Studios for PC.",https://cdn.cloudflare.steamstatic.com/steam/apps/261570/header.jpg?t=1590605540
far cry 3 blood dragon,https://store.steampowered.com/app/233270/Far_Cry_3__Blood_Dragon/,"Welcome to the 80s-looking future. It's 2007 and you're up against a rebellious cyborg army. You are Sargent Rex Colt, a Mark IV Cyber ??Commando fighting at war. Your mission: to capture the girl, kill the bad guys and save the world.",https://cdn.cloudflare.steamstatic.com/steam/apps/233270/header.jpg?t=1617126646
burnout paradise the ultimate box,https://store.steampowered.com/dlc/24740?l=turkish,"Burnout Paradise: The Ultimate Box is a re-release of Burnout Paradise with all of its free updates and Game Changing Content Packs at the time of release; Astaire, Bogart, Cagney, Burnout Bikes, PlayStation 3 Trophies (PlayStation 3 release), the Party Pack, and the Free February Update. It is the first Burnout game to be released on the PC.",https://store.steampowered.com/app/24740/Burnout_Paradise_The_Ultimate_Box/
prototype 2,https://store.steampowered.com/app/115320/Prototype_2/,"The sequel to Radical Entertainment’s best-selling open-world action game of 2009, Prototype® 2 takes the unsurpassed carnage of the original Prototype and continues the experience of becoming the ultimate shape-shifting weapon. You are Sgt James Heller, husband to a deceased wife and child and a soldier left simply to die.",https://cdn.cloudflare.steamstatic.com/steam/apps/115320/header.jpg?t=1466106968
game dev tycoon,https://store.steampowered.com/app/239820/Game_Dev_Tycoon/,"In Game Dev Tycoon, you can relive the history of the gaming industry by starting your own video games company in the 80s. Create bestselling games. Research new technologies and invent new game genres. Become the leader of the market and have fans from all over the world.",https://cdn.cloudflare.steamstatic.com/steam/apps/239820/header.jpg?t=1622528952
sniper elite 3,https://store.steampowered.com/app/238090/Sniper_Elite_3/,"Sniper Elite 3 is a tactical third-person shooter that combines stealth, gameplay choice and genre-defining ballistics with huge, open levels and the exotic terrain of World War 2 North Africa.",https://cdn.cloudflare.steamstatic.com/steam/apps/238090/header.jpg?t=1601483606
rogue legacy,https://store.steampowered.com/app/241600/Rogue_Legacy/,"Rogue Legacy is a genealogical rogue-""LITE"" where anyone can be a hero. Each time you die, your child will succeed you. Every child is unique. One child might be colorblind, another might be a dward with have vertigo. But that's OK, because no one is perfect, and you don't have to be to succeed.",https://cdn.cloudflare.steamstatic.com/steam/apps/241600/header.jpg?t=1651151952
plague inc evolved,https://store.steampowered.com/app/246620/Plague_Inc_Evolved/,"Plague Inc: Evolved is a unique strategy and terrifyingly realistic simulation game. Your pathogen has infected ""Patient Zero"". You can now bring about the end of human history by developing this deadly, universal epidemic by adapting to whatever precautions people take.",https://cdn.cloudflare.steamstatic.com/steam/apps/246620/header.jpg?t=1611835557
halflife 2 episode two,https://store.steampowered.com/app/420/HalfLife_2_Episode_Two/,"Half-Life® 2: Episode Two is the second installment in Valve's new trilogy of award-winning and best-selling Half-Life® adventures. Dr. As Gordon Freeman, you were last seen exiting City 17 with Alyx Vance when the Citadel building exploded in a storm of unknown reasons.",https://cdn.cloudflare.steamstatic.com/steam/apps/420/header.jpg?t=1602536144
spec ops the line,https://store.steampowered.com/app/50300/Spec_Ops_The_Line/,A Third-Person modern military Shooter designed to challenge players' morality by putting them in the middle of unspeakable situations.,https://cdn.cloudflare.steamstatic.com/steam/apps/50300/header.jpg?t=1569016017
dishonored,https://store.steampowered.com/app/205100/Dishonored/,"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal.",https://cdn.cloudflare.steamstatic.com/steam/apps/205100/header.jpg?t=1598321484
halflife 2 episode one,https://store.steampowered.com/app/380/HalfLife_2_Episode_One/,Half-Life 2 has sold 4 million copies worldwide and won over 35 Game of the Year Awards. Episode One is the first game in the series to reveal the dire consequences of the journey beyond Half-Life 2 and City 17. It also includes two multiplayer games. It doesn't need Half-Life 2.,https://cdn.cloudflare.steamstatic.com/steam/apps/380/header.jpg?t=1579628906
wolfenstein the new order,https://store.steampowered.com/app/201810/Wolfenstein_The_New_Order/,"Wolfenstein®: The New Order reignites the series that created the first-person shooter genre. Wolfenstein offers a deep game narrative packed with action, adventure and first-person combat.",https://cdn.cloudflare.steamstatic.com/steam/apps/201810/header.jpg?t=1630605243
metro last light,https://store.steampowered.com/app/287390/Metro_Last_Light_Redux/,"It is the year 2034. Beneath the ruins of post-apocalyptic Moscow, in the tunnels of the Metro, the remnants of mankind are besieged by deadly threats from outside – and within. Mutants stalk the catacombs beneath the desolate surface, and hunt amidst the poisoned skies above.",https://cdn.cloudflare.steamstatic.com/steam/apps/287390/header.jpg?t=1600354228
dead space,https://store.steampowered.com/app/17470/Dead_Space/,"You are Isaac Clarke, an engineer on the spacecraft USG Ishimura. You're not a warrior. You're not a soldier. You are, however, the last line of defense for the remaining living crew.",https://cdn.cloudflare.steamstatic.com/steam/apps/17470/header.jpg?t=1627659306
hotline miami,https://store.steampowered.com/app/219150/Hotline_Miami/,"Hotline Miami is a high-octane action game overflowing with raw brutality, hard-boiled gunplay and skull crushing close combat.",https://cdn.cloudflare.steamstatic.com/steam/apps/219150/header.jpg?t=1622219177
portal,https://store.steampowered.com/app/400/Portal/,"Portal™ is Valve's new single player game. The game is set in the mysterious Aperture Science Labs, Portal is known as one of the most innovative games in the universe and promises players unmatched gameplay with hours of gameplay.",https://cdn.cloudflare.steamstatic.com/steam/apps/400/header.jpg?t=1608593358
fear 2 project origin,https://store.steampowered.com/app/16450/FEAR_2_Project_Origin/,"Assume the role of Special Forces Sgt. Becket as your routine mission quickly turns into a fight for survival against the wrath of Alma Wade. As Alma's terrifying power surges out of control, your squad is forced to battle through an apocalyptic landscape in search of clues for how to destroy her!",https://cdn.cloudflare.steamstatic.com/steam/apps/16450/header.jpg?t=1633983390
the binding of isaac,https://store.steampowered.com/app/113200/The_Binding_of_Isaac/,"When Isaac's mother began to hear the voice of God demanding sacrifices to prove her faith in him, Isaac fled to the basement where he faced ravenous enemies, lost siblings, fears, and eventually his mother.",https://cdn.cloudflare.steamstatic.com/steam/apps/113200/header.jpg?t=1643480517
metal gear rising revengeance,https://store.steampowered.com/app/235460/METAL_GEAR_RISING_REVENGEANCE/,"Developed by Kojima Productions and PlatinumGames, METAL GEAR RISING: REVENGEANCE takes the renowned METAL GEAR franchise into exciting new territory with an all-new action experience. ",https://cdn.cloudflare.steamstatic.com/steam/apps/235460/header.jpg?t=1581382081
call of duty modern warfare 2,https://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2/,The sequel to the most anticipated game of the year and the best-selling first-person action game of all time; Modern Warfare 2 continues the gripping and exciting action as players face new threats committed to bringing the world to the brink of destruction.,https://cdn.cloudflare.steamstatic.com/steam/apps/10180/header.jpg?t=1639696082
counterstrike source,https://store.steampowered.com/app/240/CounterStrike_Source/,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology.,https://cdn.cloudflare.steamstatic.com/steam/apps/240/header.jpg?t=1602536047
dungeon defenders,https://store.steampowered.com/app/65800/Dungeon_Defenders/,Create a hero from one of four classes to save Etheria in this 4-player coop Tower Defense Action-RPG. Includes Steam exclusive Portal gun & TF2 familiars!,https://cdn.cloudflare.steamstatic.com/steam/apps/65800/header.jpg?t=1617394709
call of duty black ops,https://store.steampowered.com/app/42700/Call_of_Duty_Black_Ops/,"The greatest First-Person Shooter action franchise of all time returns with Call of Duty®: Black Ops, following last year's record-breaking game Call of Duty®: Modern Warfare 2.",https://cdn.cloudflare.steamstatic.com/steam/apps/42700/header.jpg?t=1646763435
empire total war,https://store.steampowered.com/app/10500/Total_War_EMPIRE__Definitive_Edition/,"Complete your Total War collection with this Definitive Edition of Total War: EMPIRE, which includes all DLC and feature updates since the game’s release:
Take on the Warpath Campaign and lead one of 5 new Native American factions in an epic war to defend your lands and drive out the invaders.",https://cdn.cloudflare.steamstatic.com/steam/apps/10500/header.jpg?t=1603130998
ark survival evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/,"As a man or woman who is freezing and starving naked on the shores of a mysterious island called ARK, you must hunt, craft supplies, grow food crops, and build shelters to survive.",https://cdn.cloudflare.steamstatic.com/steam/apps/346110/header.jpg?t=1649288168
unturned,https://store.steampowered.com/app/304930/Unturned/,"You are one of the survivors of an ancient civilization overrun by zombies, and you must act and form alliances with your friends to stay in the realm of the living.",https://image.api.playstation.com/vulcan/ap/rnd/202010/0514/NP9NrK8LsXYymmtHKxRFnJBw.jpg
rust,https://store.steampowered.com/app/252490/Rust/,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.",https://cdn.cloudflare.steamstatic.com/steam/apps/252490/header.jpg?t=1645133322
dead island riptide,https://store.steampowered.com/app/383180/Dead_Island_Riptide_Definitive_Edition/,"Welcome to the zombie apocalypse experience of a lifetime – more beautiful than ever. Caught in an epic zombie outbreak on the tropical island of Banoi, your only thought is: Survive!",https://cdn.cloudflare.steamstatic.com/steam/apps/383180/header.jpg?t=1622024233
garrys mod,https://store.steampowered.com/app/4000/Garrys_Mod/,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,https://cdn.cloudflare.steamstatic.com/steam/apps/4000/header.jpg?t=1617307042
counterstrike nexon zombies,https://store.steampowered.com/app/273110/CounterStrike_Nexon_Studio/,"Counter-Strike Nexon: Zombies is a free-to-play MMOFPS game featuring action-packed PvP and PvE competition with new modes, maps, weapons and Zombies, along with content from the original Counter-Strike!",https://cdn.cloudflare.steamstatic.com/steam/apps/273110/header_alt_assets_4.jpg?t=1641956013
